iter	Passed	Remaining
273	375	994
274	376	993
275	377	990
276	379	991
277	381	989
278	382	987
279	383	985
280	384	983
281	385	981
282	386	979
283	387	977
284	388	974
285	389	972
286	390	970
287	393	972
288	394	971
289	396	970
290	397	968
291	398	967
292	400	965
293	401	963
294	402	961
295	403	959
296	404	957
297	405	955
298	406	954
299	408	952
300	410	952
301	411	951
302	413	950
303	414	948
304	415	946
305	416	944
306	417	942
307	418	939
308	419	938
309	420	936
310	421	934
311	422	932
312	424	930
313	425	928
314	427	929
315	429	929
316	431	928
317	432	927
318	433	925
319	435	925
320	437	924
321	438	923
322	439	921
323	441	920
324	445	924
325	446	922
326	447	921
327	449	921
328	451	920
329	452	918
330	453	917
331	454	915
332	455	913
333	456	910
334	457	908
335	460	909
336	462	908
337	463	907
338	465	906
339	466	905
340	467	903
341	468	902
342	469	900
343	470	898
344	472	896
345	473	895
346	474	893
347	475	891
348	476	889
349	478	889
350	480	888
351	482	888
352	483	886
353	485	885
354	486	884
355	487	882
356	488	880
357	489	878
358	491	876
359	492	875
360	493	873
361	494	871
362	496	871
363	498	871
364	499	869
365	501	867
366	502	866
367	503	865
368	505	863
369	506	862
370	507	860
371	508	859
372	510	857
373	512	858
374	515	858
375	517	858
376	518	856
377	519	855
378	520	853
379	522	851
380	523	850
381	524	848
382	525	847
383	527	845
384	528	843
385	532	847
386	534	846
387	536	845
388	537	843
389	538	842
390	539	840
391	541	839
392	542	837
393	543	835
394	544	833
395	545	831
396	546	829
397	549	831
398	550	829
399	551	827
400	553	826
401	554	825
402	556	824
403	557	822
404	558	820
405	559	818
406	561	817
407	562	815
408	563	814
409	566	815
410	568	814
411	570	814
412	572	813
413	573	811
414	574	810
415	576	809
416	578	808
417	580	807
418	583	808
419	584	807
420	586	806
421	588	806
422	589	804
423	591	803
424	592	801
425	593	800
426	595	798
427	596	797
428	597	795
429	600	796
430	602	795
431	603	794
432	606	793
433	608	793
434	609	791
435	610	790
436	612	788
437	613	787
438	615	786
439	617	785
440	619	784
441	620	783
442	622	783
443	624	781
444	625	780
445	627	779
446	628	777
447	629	775
448	631	774
449	632	773
450	635	773
451	637	772
452	638	771
453	640	770
454	642	769
455	643	767
456	644	766
457	646	764
458	647	763
459	648	761
460	651	761
461	653	760
462	654	758
463	656	758
464	658	757
465	659	755
466	660	754
467	661	752
468	663	750
469	664	749
470	665	747
471	667	746
472	669	746
473	671	745
474	673	744
475	675	743
476	676	741
477	677	740
478	679	738
479	680	737
480	682	735
481	683	734
482	686	734
483	688	733
484	689	732
485	691	731
486	693	730
487	694	728
488	695	727
489	697	725
490	699	724
491	700	723
492	703	723
493	704	722
494	707	721
495	708	720
496	710	718
497	711	717
498	713	715
499	714	714
500	715	712
501	716	710
502	717	709
503	719	708
504	721	707
505	722	705
506	724	704
507	725	703
508	727	701
509	728	699
510	729	698
511	731	696
512	732	695
513	733	693
514	734	691
515	735	690
516	738	689
517	739	688
518	741	687
519	743	685
520	744	684
521	744	682
522	745	680
523	746	678
524	747	676
525	748	674
526	749	672
527	750	670
528	751	668
529	752	667
530	753	665
531	755	664
532	757	663
533	759	662
534	760	661
535	762	659
536	763	658
537	764	656
538	765	654
539	766	653
540	767	651
541	768	649
542	769	647
543	771	646
544	772	645
545	773	643
546	775	641
547	776	640
548	777	638
549	778	637
550	779	635
551	780	633
552	781	631
553	782	629
554	783	628
555	784	626
556	785	624
557	786	622
558	789	622
559	790	620
560	791	619
561	793	618
562	794	616
563	795	614
564	796	613
565	797	611
566	798	609
567	799	607
568	800	606
569	800	604
570	801	602
571	802	600
572	803	598
573	805	598
574	807	596
575	808	594
576	809	593
577	811	592
578	811	590
579	812	588
580	813	586
581	814	585
582	815	583
583	816	581
584	817	579
585	818	578
586	818	576
587	819	574
588	820	572
589	823	572
590	824	570
591	825	568
592	826	567
593	827	565
594	828	563
595	829	562
596	830	560
597	831	558
598	832	557
599	832	555
600	833	553
601	834	551
602	835	550
603	836	548
604	837	546
605	840	546
606	841	544
607	842	542
608	843	541
609	844	540
610	845	538
611	846	536
612	847	535
613	848	533
614	849	531
615	850	530
616	851	528
617	851	526
618	852	524
619	853	523
620	854	521
621	856	520
622	857	519
623	858	517
624	859	515
625	861	514
626	862	512
627	863	511
628	864	509
629	865	508
630	866	506
631	866	504
632	867	503
633	868	501
634	869	499
635	870	498
636	871	496
637	872	494
638	874	494
639	876	492
640	877	491
641	878	490
642	879	488
643	880	486
644	881	485
645	882	483
646	883	481
647	884	480
648	885	478
649	885	477
650	886	475
651	887	473
652	888	472
653	890	470
654	891	469
655	892	467
656	893	466
657	895	465
658	896	463
659	897	462
660	898	460
661	899	459
662	900	457
663	901	456
664	902	454
665	903	453
666	904	451
667	905	449
668	906	448
669	908	447
670	909	445
671	911	444
672	912	443
673	913	441
674	915	440
675	916	439
676	917	437
677	918	436
678	918	434
679	919	432
680	920	431
681	921	429
682	922	428
683	924	427
684	925	425
685	927	424
686	928	423
687	929	421
688	930	420
689	932	418
690	933	417
691	934	415
692	935	414
693	936	412
694	937	411
695	938	409
696	939	408
697	941	407
698	942	405
699	943	404
700	945	403
701	946	401
702	947	400
703	948	398
704	949	397
705	950	395
706	951	394
707	952	392
708	953	391
709	954	389
710	955	388
711	955	386
712	958	385
713	959	384
714	961	383
715	962	381
716	963	380
717	963	378
718	964	377
719	965	375
720	966	374
721	967	372
722	968	371
723	969	369
724	970	368
725	971	366
726	972	365
727	973	363
728	975	362
729	976	361
730	978	359
731	980	358
732	981	357
733	982	355
734	983	354
735	984	353
736	985	351
737	986	350
738	987	348
739	988	347
740	989	345
741	990	344
742	992	343
743	993	341
744	994	340
745	996	339
746	997	337
747	998	336
748	999	335
749	1000	333
750	1001	332
751	1002	330
752	1003	329
753	1004	327
754	1005	326
755	1006	324
756	1007	323
757	1008	322
758	1010	320
759	1011	319
760	1012	318
761	1013	316
762	1014	315
763	1015	313
764	1016	312
765	1017	310
766	1018	309
767	1019	308
768	1021	306
769	1022	305
770	1024	304
771	1025	302
772	1027	301
773	1027	300
774	1029	298
775	1030	297
776	1031	295
777	1032	294
778	1033	293
779	1034	291
780	1035	290
781	1035	288
782	1036	287
783	1037	285
784	1038	284
785	1039	283
786	1040	281
787	1041	280
788	1043	278
789	1044	277
790	1045	276
791	1047	274
792	1048	273
793	1049	272
794	1050	270
795	1050	269
796	1051	267
797	1052	266
798	1053	265
799	1054	263
800	1055	262
801	1056	260
802	1057	259
803	1057	257
804	1058	256
805	1061	255
806	1062	254
807	1063	252
808	1064	251
809	1065	250
810	1066	248
811	1068	247
812	1068	245
813	1069	244
814	1070	243
815	1071	241
816	1072	240
817	1073	238
818	1074	237
819	1075	236
820	1076	234
821	1078	233
822	1079	232
823	1081	230
824	1082	229
825	1083	228
826	1084	226
827	1085	225
828	1086	224
829	1087	222
830	1088	221
831	1089	220
832	1091	218
833	1092	217
834	1095	216
835	1096	215
836	1098	213
837	1099	212
838	1100	211
839	1101	209
840	1103	208
841	1104	207
842	1105	205
843	1106	204
844	1107	203
845	1108	201
846	1109	200
847	1111	199
848	1113	197
849	1114	196
850	1115	195
851	1117	194
852	1118	192
853	1119	191
854	1120	189
855	1121	188
856	1121	187
857	1122	185
858	1123	184
859	1124	183
860	1125	181
861	1126	180
862	1128	179
863	1129	177
864	1130	176
865	1132	175
866	1133	173
867	1134	172
868	1134	171
869	1135	169
870	1136	168
871	1137	166
872	1138	165
873	1139	164
874	1140	162
875	1141	161
876	1142	160
877	1143	158
878	1145	157
879	1146	156
880	1147	155
881	1149	153
882	1150	152
883	1151	151
884	1152	149
885	1153	148
886	1154	147
887	1155	145
888	1156	144
889	1157	143
890	1158	141
891	1159	140
892	1160	139
893	1162	137
894	1164	136
895	1165	135
896	1166	133
897	1168	132
898	1169	131
899	1170	130
900	1171	128
901	1172	127
902	1173	126
903	1174	124
904	1176	123
905	1177	122
906	1179	120
907	1181	119
908	1182	118
909	1184	117
910	1185	115
911	1186	114
912	1187	113
913	1188	111
914	1189	110
915	1190	109
916	1191	107
917	1192	106
918	1193	105
919	1194	103
920	1196	102
921	1198	101
922	1200	100
923	1201	98
924	1202	97
925	1203	96
926	1205	94
927	1206	93
928	1207	92
929	1208	90
930	1209	89
931	1210	88
932	1212	87
933	1213	85
934	1214	84
935	1215	83
936	1217	81
937	1218	80
938	1219	79
939	1220	77
940	1221	76
941	1222	75
942	1223	73
943	1224	72
944	1225	71
945	1226	70
946	1227	68
947	1230	67
948	1231	66
949	1232	64
950	1233	63
951	1234	62
952	1236	60
953	1236	59
954	1237	58
955	1238	57
956	1239	55
957	1240	54
958	1241	53
959	1242	51
960	1243	50
961	1245	49
962	1246	47
963	1248	46
964	1249	45
965	1250	44
966	1251	42
967	1252	41
968	1253	40
969	1255	38
970	1256	37
971	1257	36
972	1258	34
973	1259	33
974	1260	32
975	1261	31
976	1262	29
977	1263	28
978	1265	27
979	1267	25
980	1268	24
981	1269	23
982	1270	21
983	1271	20
984	1273	19
985	1274	18
986	1275	16
987	1276	15
988	1277	14
989	1278	12
990	1279	11
991	1280	10
992	1282	9
993	1283	7
994	1284	6
995	1285	5
996	1287	3
997	1288	2
998	1289	1
999	1290	0
